Company Name,Financial Metric(s),2024,2023,2022,,,,,,,,,,,
Microsoft,Total Revenue,"245,122","211,915","198,270",,,,,,,,,,,
Corporation,Net Income,"88,136","72,361","72,738",,,,,,,,,,,
,Total Assets,"512,163","411,976",,,,,,,,,,,,
,Total Liabilities,"243,686","205,753",,,,,,,,,,,,
,Cash Flow from Ops,"118,458","87,582","89,035",,,,,,,,,,,
,,,,,,,,,,,,,,,
"Tesla, Inc.",Total Revenue,"97,690","96,773","81,462",,,,,,,,,,,
,Net Income,"7,091","14,997","12,556",,,,,,,,,,,
,Total Assets,"122,070","106,618",,,,,,,,,,,,
,Total Liabilites,"48,390","43,009",,,,,,,,,,,,
,Cash Flow from Ops.,"14,923","13,256","14,724",,,,,,,,,,,
,,,,,,,,,,,,,,,
Apple Inc.,Total Revenue,"391,035","383,285","394,328",,,,,,,,,,,
,Net Income,"93,736","99,995","99,803",,,,,,,,,,,
,Total Assets,"152,987","143,566",,,,,,,,,,,,
,Total Liabilities,"308,030","290,437",,,,,,,,,,,,
,Cash Flow From Ops.,"118,254","110,543","122,151",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
